name	type	source	detector	wavelength_nominal	units
S1-D1-690.0	NIRSCWAMPLITUDE	S1	D1	690.0	AU
S1-D3-690.0	NIRSCWAMPLITUDE	S1	D3	690.0	AU
S1-D4-690.0	NIRSCWAMPLITUDE	S1	D4	690.0	AU
S2-D1-690.0	NIRSCWAMPLITUDE	S2	D1	690.0	AU
S2-D2-690.0	NIRSCWAMPLITUDE	S2	D2	690.0	AU
S2-D4-690.0	NIRSCWAMPLITUDE	S2	D4	690.0	AU
S3-D5-690.0	NIRSCWAMPLITUDE	S3	D5	690.0	AU
S3-D6-690.0	NIRSCWAMPLITUDE	S3	D6	690.0	AU
S3-D7-690.0	NIRSCWAMPLITUDE	S3	D7	690.0	AU
S4-D6-690.0	NIRSCWAMPLITUDE	S4	D6	690.0	AU
S4-D7-690.0	NIRSCWAMPLITUDE	S4	D7	690.0	AU
S4-D8-690.0	NIRSCWAMPLITUDE	S4	D8	690.0	AU
S5-D9-690.0	NIRSCWAMPLITUDE	S5	D9	690.0	AU
S6-D10-690.0	NIRSCWAMPLITUDE	S6	D10	690.0	AU
S1-D1-830.0	NIRSCWAMPLITUDE	S1	D1	830.0	AU
S1-D3-830.0	NIRSCWAMPLITUDE	S1	D3	830.0	AU
S1-D4-830.0	NIRSCWAMPLITUDE	S1	D4	830.0	AU
S2-D1-830.0	NIRSCWAMPLITUDE	S2	D1	830.0	AU
S2-D2-830.0	NIRSCWAMPLITUDE	S2	D2	830.0	AU
S2-D4-830.0	NIRSCWAMPLITUDE	S2	D4	830.0	AU
S3-D5-830.0	NIRSCWAMPLITUDE	S3	D5	830.0	AU
S3-D6-830.0	NIRSCWAMPLITUDE	S3	D6	830.0	AU
S3-D7-830.0	NIRSCWAMPLITUDE	S3	D7	830.0	AU
S4-D6-830.0	NIRSCWAMPLITUDE	S4	D6	830.0	AU
S4-D7-830.0	NIRSCWAMPLITUDE	S4	D7	830.0	AU
S4-D8-830.0	NIRSCWAMPLITUDE	S4	D8	830.0	AU
S5-D9-830.0	NIRSCWAMPLITUDE	S5	D9	830.0	AU
S6-D10-830.0	NIRSCWAMPLITUDE	S6	D10	830.0	AU
